"","VARIABLE","TYPE","NGENES","BETA","BETA_STD","SE","P","FULL_NAME","FDR"
"1","KEGG_BLADDER_CANCER","SET",3,0.60942,0.021107,0.19854,0.001084,"KEGG_BLADDER_CANCER",0.118085333333333
"2","KEGG_NON_SMALL_CELL_LUNG_CAN...","SET",10,0.34228,0.021613,0.11948,0.0021042,"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.118085333333333
"3","KEGG_MELANOMA","SET",11,0.31129,0.020611,0.10928,0.0022141,"KEGG_MELANOMA",0.118085333333333
"4","KEGG_TGF_BETA_SIGNALING_PATH...","SET",11,0.28998,0.019201,0.11598,0.0062357,"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.189216
"5","KEGG_RETINOL_METABOLISM","SET",2,0.81086,0.022935,0.33708,0.0081113,"KEGG_RETINOL_METABOLISM",0.189216
"6","KEGG_TRYPTOPHAN_METABOLISM","SET",8,0.28502,0.016104,0.12062,0.0091029,"KEGG_TRYPTOPHAN_METABOLISM",0.189216
"7","KEGG_THYROID_CANCER","SET",6,0.3383,0.01656,0.145,0.0098626,"KEGG_THYROID_CANCER",0.189216
"8","KEGG_FC_GAMMA_R_MEDIATED_PHA...","SET",18,0.2021,0.017093,0.088552,0.011281,"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.189216
"9","KEGG_GLYCOSPHINGOLIPID_BIOSY...2","SET",3,0.49606,0.01718,0.21796,0.011469,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.189216
"10","KEGG_GLYCOSAMINOGLYCAN_BIOSY...2","SET",7,0.32325,0.017088,0.14277,0.011826,"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.189216
"11","KEGG_REGULATION_OF_ACTIN_CYT...","SET",35,0.13747,0.016158,0.06231,0.01373,"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.199709090909091
"12","KEGG_ENDOMETRIAL_CANCER","SET",8,0.26498,0.014972,0.12572,0.017578,"KEGG_ENDOMETRIAL_CANCER",0.234373333333333
"13","KEGG_DORSO_VENTRAL_AXIS_FORM...","SET",4,0.38812,0.015519,0.18865,0.019878,"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.244652307692308
"14","KEGG_GLYCOSAMINOGLYCAN_DEGRA...","SET",2,0.51067,0.014444,0.26698,0.027949,"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.319417142857143
"15","KEGG_NUCLEOTIDE_EXCISION_REP...","SET",4,0.21561,0.0086211,0.11526,0.030761,"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.32284
"16","KEGG_LYSINE_DEGRADATION","SET",5,0.30189,0.013493,0.16326,0.032284,"KEGG_LYSINE_DEGRADATION",0.32284
"17","KEGG_BUTANOATE_METABOLISM","SET",3,0.36854,0.012764,0.21197,0.041111,"KEGG_BUTANOATE_METABOLISM",0.386927058823529
"18","KEGG_GLYCOSPHINGOLIPID_BIOSY...3","SET",6,0.27278,0.013353,0.16475,0.048952,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.435128888888889
"19","KEGG_B_CELL_RECEPTOR_SIGNALI...","SET",11,0.17351,0.011489,0.11389,0.063878,"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.482285714285714
"20","KEGG_ALDOSTERONE_REGULATED_S...","SET",7,0.2068,0.010932,0.13734,0.066135,"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.482285714285714
"21","KEGG_OLFACTORY_TRANSDUCTION","SET",16,0.15095,0.012042,0.10034,0.066298,"KEGG_OLFACTORY_TRANSDUCTION",0.482285714285714
"22","KEGG_TAURINE_AND_HYPOTAURINE...","SET",2,0.39821,0.011263,0.26705,0.068028,"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM",0.482285714285714
"23","KEGG_PATHWAYS_IN_CANCER","SET",58,0.072082,0.010855,0.049166,0.071374,"KEGG_PATHWAYS_IN_CANCER",0.482285714285714
"24","KEGG_PRIMARY_IMMUNODEFICIENCY","SET",7,0.21521,0.011377,0.14765,0.072541,"KEGG_PRIMARY_IMMUNODEFICIENCY",0.482285714285714
"25","KEGG_LYSOSOME","SET",10,0.17454,0.011021,0.12266,0.07744,"KEGG_LYSOSOME",0.482285714285714
"26","KEGG_ALZHEIMERS_DISEASE","SET",21,0.11537,0.010534,0.082201,0.080293,"KEGG_ALZHEIMERS_DISEASE",0.482285714285714
"27","KEGG_TYPE_I_DIABETES_MELLITUS","SET",6,0.21116,0.010336,0.15308,0.083953,"KEGG_TYPE_I_DIABETES_MELLITUS",0.482285714285714
"28","KEGG_BETA_ALANINE_METABOLISM","SET",4,0.21832,0.0087293,0.16157,0.088373,"KEGG_BETA_ALANINE_METABOLISM",0.482285714285714
"29","KEGG_O_GLYCAN_BIOSYNTHESIS","SET",9,0.16788,0.010058,0.12606,0.091545,"KEGG_O_GLYCAN_BIOSYNTHESIS",0.482285714285714
"30","KEGG_TYPE_II_DIABETES_MELLIT...","SET",11,0.14561,0.009641,0.11198,0.096811,"KEGG_TYPE_II_DIABETES_MELLITUS",0.482285714285714
"31","KEGG_PRION_DISEASES","SET",6,0.19438,0.009515,0.15159,0.099934,"KEGG_PRION_DISEASES",0.482285714285714
"32","KEGG_VIRAL_MYOCARDITIS","SET",15,0.11831,0.0091401,0.092973,0.10166,"KEGG_VIRAL_MYOCARDITIS",0.482285714285714
"33","KEGG_BASAL_CELL_CARCINOMA","SET",6,0.19184,0.0093905,0.15213,0.10371,"KEGG_BASAL_CELL_CARCINOMA",0.482285714285714
"34","KEGG_CHRONIC_MYELOID_LEUKEMIA","SET",9,0.15613,0.0093545,0.12458,0.10513,"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.482285714285714
"35","KEGG_PROSTATE_CANCER","SET",14,0.12411,0.0092654,0.099199,0.1055,"KEGG_PROSTATE_CANCER",0.482285714285714
"36","KEGG_LEISHMANIA_INFECTION","SET",9,0.13433,0.0080487,0.1117,0.11462,"KEGG_LEISHMANIA_INFECTION",0.496166666666667
"37","KEGG_CYTOSOLIC_DNA_SENSING_P...","SET",4,0.20743,0.008294,0.17713,0.12084,"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.496166666666667
"38","KEGG_RENAL_CELL_CARCINOMA","SET",6,0.18002,0.0088123,0.15431,0.12174,"KEGG_RENAL_CELL_CARCINOMA",0.496166666666667
"39","KEGG_BASAL_TRANSCRIPTION_FAC...","SET",2,0.64187,0.018155,0.56059,0.12616,"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.496166666666667
"40","KEGG_TOLL_LIKE_RECEPTOR_SIGN...","SET",10,0.13616,0.0085977,0.12104,0.13037,"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.496166666666667
"41","KEGG_RNA_DEGRADATION","SET",7,0.13704,0.007244,0.12193,0.13058,"KEGG_RNA_DEGRADATION",0.496166666666667
"42","KEGG_ACUTE_MYELOID_LEUKEMIA","SET",10,0.13619,0.0085995,0.12286,0.13388,"KEGG_ACUTE_MYELOID_LEUKEMIA",0.496166666666667
"43","KEGG_RIBOSOME","SET",5,0.23944,0.010702,0.21772,0.13577,"KEGG_RIBOSOME",0.496166666666667
"44","KEGG_GLIOMA","SET",7,0.15194,0.0080317,0.13952,0.13814,"KEGG_GLIOMA",0.496166666666667
"45","KEGG_MISMATCH_REPAIR","SET",2,0.16568,0.004686,0.15694,0.14561,"KEGG_MISMATCH_REPAIR",0.496166666666667
"46","KEGG_COLORECTAL_CANCER","SET",11,0.11729,0.007766,0.11132,0.14608,"KEGG_COLORECTAL_CANCER",0.496166666666667
"47","KEGG_CYTOKINE_CYTOKINE_RECEP...","SET",30,0.073417,0.0079972,0.070399,0.14856,"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.496166666666667
"48","KEGG_RNA_POLYMERASE","SET",2,0.24831,0.0070233,0.23839,0.14885,"KEGG_RNA_POLYMERASE",0.496166666666667
"49","KEGG_ADHERENS_JUNCTION","SET",16,0.09349,0.0074582,0.091746,0.15415,"KEGG_ADHERENS_JUNCTION",0.50334693877551
"50","KEGG_SMALL_CELL_LUNG_CANCER","SET",15,0.094537,0.0073037,0.094862,0.15954,"KEGG_SMALL_CELL_LUNG_CANCER",0.510528
"51","KEGG_MELANOGENESIS","SET",13,0.10039,0.0072229,0.10524,0.17012,"KEGG_MELANOGENESIS",0.533709803921569
"52","KEGG_PANCREATIC_CANCER","SET",11,0.097443,0.006452,0.11038,0.18872,"KEGG_PANCREATIC_CANCER",0.567771428571429
"53","KEGG_COMPLEMENT_AND_COAGULAT...","SET",12,0.098175,0.0067881,0.11252,0.1915,"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.567771428571429
"54","KEGG_NOD_LIKE_RECEPTOR_SIGNA...","SET",10,0.099981,0.0063132,0.11718,0.19681,"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.567771428571429
"55","KEGG_JAK_STAT_SIGNALING_PATH...","SET",21,0.070956,0.0064784,0.083803,0.19863,"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.567771428571429
"56","KEGG_FOCAL_ADHESION","SET",41,0.049586,0.0063003,0.058589,0.19872,"KEGG_FOCAL_ADHESION",0.567771428571429
"57","KEGG_AMINO_SUGAR_AND_NUCLEOT...","SET",7,0.11583,0.0061229,0.13923,0.20277,"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.569178947368421
"58","KEGG_PARKINSONS_DISEASE","SET",5,0.11836,0.0052901,0.16814,0.24076,"KEGG_PARKINSONS_DISEASE",0.652904918032787
"59","KEGG_PANTOTHENATE_AND_COA_BI...","SET",2,0.18346,0.005189,0.26715,0.24616,"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.652904918032787
"60","KEGG_MTOR_SIGNALING_PATHWAY","SET",5,0.12236,0.005469,0.18005,0.24841,"KEGG_MTOR_SIGNALING_PATHWAY",0.652904918032787
"61","KEGG_APOPTOSIS","SET",10,0.076803,0.0048497,0.11328,0.24892,"KEGG_APOPTOSIS",0.652904918032787
"62","KEGG_P53_SIGNALING_PATHWAY","SET",6,0.10036,0.0049125,0.15327,0.25634,"KEGG_P53_SIGNALING_PATHWAY",0.661522580645161
"63","KEGG_FATTY_ACID_METABOLISM","SET",3,0.11752,0.0040701,0.21209,0.28978,"KEGG_FATTY_ACID_METABOLISM",0.735949206349206
"64","KEGG_INTESTINAL_IMMUNE_NETWO...","SET",6,0.072177,0.0035331,0.15311,0.3187,"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.79675
"65","KEGG_STEROID_HORMONE_BIOSYNT...","SET",5,0.076434,0.0034162,0.16892,0.32548,"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.798567164179104
"66","KEGG_GLYCINE_SERINE_AND_THRE...","SET",3,0.095974,0.003324,0.21751,0.32954,"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.798567164179104
"67","KEGG_NATURAL_KILLER_CELL_MED...","SET",13,0.040804,0.0029359,0.095373,0.3344,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.798567164179104
"68","KEGG_RENIN_ANGIOTENSIN_SYSTEM","SET",7,0.051486,0.0027217,0.13295,0.3493,"KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.821882352941177
"69","KEGG_AMYOTROPHIC_LATERAL_SCL...","SET",6,0.056566,0.0027689,0.15416,0.35685,"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.82368
"70","KEGG_ETHER_LIPID_METABOLISM","SET",2,0.095523,0.0027018,0.26717,0.36036,"KEGG_ETHER_LIPID_METABOLISM",0.82368
"71","KEGG_INSULIN_SIGNALING_PATHW...","SET",15,0.027242,0.0021046,0.089598,0.38056,"KEGG_INSULIN_SIGNALING_PATHWAY",0.840131506849315
"72","KEGG_ALANINE_ASPARTATE_AND_G...","SET",7,0.04245,0.002244,0.14235,0.38278,"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.840131506849315
"73","KEGG_FC_EPSILON_RI_SIGNALING...","SET",12,0.031704,0.0021921,0.1068,0.38331,"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.840131506849315
"74","KEGG_NITROGEN_METABOLISM","SET",4,0.050165,0.0020058,0.18797,0.39479,"KEGG_NITROGEN_METABOLISM",0.8536
"75","KEGG_SPLICEOSOME","SET",6,0.049179,0.0024074,0.22251,0.41255,"KEGG_SPLICEOSOME",0.86705641025641
"76","KEGG_NOTCH_SIGNALING_PATHWAY","SET",6,0.035033,0.0017149,0.16503,0.41595,"KEGG_NOTCH_SIGNALING_PATHWAY",0.86705641025641
"77","KEGG_ARACHIDONIC_ACID_METABO...","SET",5,0.037894,0.0016936,0.18318,0.41806,"KEGG_ARACHIDONIC_ACID_METABOLISM",0.86705641025641
"78","KEGG_CHEMOKINE_SIGNALING_PAT...","SET",21,0.016212,0.0014802,0.083128,0.42269,"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.86705641025641
"79","KEGG_LINOLEIC_ACID_METABOLISM","SET",2,0.034391,0.00097271,0.26717,0.44879,"KEGG_LINOLEIC_ACID_METABOLISM",0.885903448275862
"80","KEGG_TIGHT_JUNCTION","SET",25,0.0085756,0.0008536,0.072369,0.45284,"KEGG_TIGHT_JUNCTION",0.885903448275862
"81","KEGG_SULFUR_METABOLISM","SET",3,0.021391,0.00074084,0.21819,0.46096,"KEGG_SULFUR_METABOLISM",0.885903448275862
"82","KEGG_HISTIDINE_METABOLISM","SET",2,0.024871,0.00070347,0.26717,0.46292,"KEGG_HISTIDINE_METABOLISM",0.885903448275862
"83","KEGG_VALINE_LEUCINE_AND_ISOL...","SET",5,0.013557,0.00060594,0.14666,0.46318,"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.885903448275862
