"","VARIABLE","TYPE","NGENES","BETA","BETA_STD","SE","P","FULL_NAME","FDR"
"1","KEGG_O_GLYCAN_BIOSYNTHESIS","SET",2,0.65452,0.094461,0.19608,0.00061436,"KEGG_O_GLYCAN_BIOSYNTHESIS",0.01167284
"2","KEGG_REGULATION_OF_ACTIN_CYT...","SET",3,0.4398,0.077319,0.16427,0.0044093,"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.04188835
"3","KEGG_FOCAL_ADHESION","SET",2,0.39747,0.057363,0.2036,0.027012,"KEGG_FOCAL_ADHESION",0.171076
"4","KEGG_FC_GAMMA_R_MEDIATED_PHA...","SET",3,0.14328,0.025189,0.17001,0.2008,"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.74146
"5","KEGG_LONG_TERM_DEPRESSION","SET",4,0.083341,0.016826,0.1484,0.2879,"KEGG_LONG_TERM_DEPRESSION",0.74146
"6","KEGG_ADHERENS_JUNCTION","SET",2,0.022761,0.0032849,0.20785,0.45652,"KEGG_ADHERENS_JUNCTION",0.74146
"7","KEGG_ENDOMETRIAL_CANCER","SET",2,0.022761,0.0032849,0.20785,0.45652,"KEGG_ENDOMETRIAL_CANCER",0.74146
"8","KEGG_PATHWAYS_IN_CANCER","SET",2,0.022761,0.0032849,0.20785,0.45652,"KEGG_PATHWAYS_IN_CANCER",0.74146
"9","KEGG_TYPE_I_DIABETES_MELLITUS","SET",2,0.021592,0.0031162,0.20785,0.45875,"KEGG_TYPE_I_DIABETES_MELLITUS",0.74146
"10","KEGG_GAP_JUNCTION","SET",3,-0.0038788,-0.00068192,0.17068,0.50904,"KEGG_GAP_JUNCTION",0.74146
"11","KEGG_VASCULAR_SMOOTH_MUSCLE_...","SET",4,-0.010959,-0.0022125,0.14866,0.5293,"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.74146
"12","KEGG_NEUROACTIVE_LIGAND_RECE...","SET",2,-0.024066,-0.0034732,0.20785,0.54596,"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.74146
"13","KEGG_ALZHEIMERS_DISEASE","SET",2,-0.07092,-0.010235,0.20773,0.6332,"KEGG_ALZHEIMERS_DISEASE",0.74146
"14","KEGG_GNRH_SIGNALING_PATHWAY","SET",2,-0.07092,-0.010235,0.20773,0.6332,"KEGG_GNRH_SIGNALING_PATHWAY",0.74146
"15","KEGG_LONG_TERM_POTENTIATION","SET",2,-0.07092,-0.010235,0.20773,0.6332,"KEGG_LONG_TERM_POTENTIATION",0.74146
"16","KEGG_MELANOGENESIS","SET",2,-0.07092,-0.010235,0.20773,0.6332,"KEGG_MELANOGENESIS",0.74146
"17","KEGG_BETA_ALANINE_METABOLISM","SET",2,-0.061191,-0.0088312,0.13409,0.67538,"KEGG_BETA_ALANINE_METABOLISM",0.74146
"18","KEGG_TIGHT_JUNCTION","SET",2,-0.12368,-0.01785,0.20746,0.72372,"KEGG_TIGHT_JUNCTION",0.74146
"19","KEGG_CHEMOKINE_SIGNALING_PAT...","SET",3,-0.11076,-0.019471,0.17028,0.74146,"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.74146
